"lfc.LB"	"lfc.high_pCA"	"lfc.low_pCA"	"lfc.glucose"	"lfc.acetate"
"uvrY"	0	0.74067	0.38818	0.74219	0.73261
"ptsP"	0	0.27858	0.23318	0.52103	0.84196
"relA"	0	0.24614	0	0.73428	0.79019
"PP_5651"	0	0.18524	0.25191	0.97758	0.62732
"slyD"	0	0	-0.073818	0.84843	0.43677
"PP_0168"	0	0.64933	0.62545	0.3752	0.3105
"PP_0165"	0.12168	0.66069	0.54168	0.32631	0.29575
"PP_1112"	0	0.38234	0.17811	0.5326	0.30578
"fleQ"	0.1291	0.30427	0.23705	0.43713	0.16964
"PP_1113"	0	0.3627	0.24943	0.41599	0.23553
"rluD"	0	0.32376	0.19067	0.4613	0.22157
"PP_1110"	0	0.2905	0.19117	0.39232	0.26303
"PP_2387"	0	0.48986	0	0.40893	0.33842
"PP_4943"	0	0.2596	0.48767	0.39913	0.22997
"PP_0166"	0	0.40739	0.20055	0.28931	0.27242
"paxB"	0	0.43692	0.27771	0.23266	0.20057
"wbpM"	0	0.42467	0.34602	0.12933	0.2332
"cpsG"	0	0.29094	0.2983	0.20733	0.17897
"wbpY"	0	0.29974	0.26473	0.13671	0.20705
"rppH"	0	0.51534	0.26734	0.11795	0.43182
"PP_t58"	0	0.53291	0.28926	-0.29041	0.48014
"mreC"	0	0.53121	0.29351	-0.12942	0.29149
"mrdB"	0	0.55184	0.50852	0	0
"mrdA-II"	-0.031348	0.63298	0.4571	-0.15236	0
"rlmH"	0	0.56852	0.31592	-0.10114	0
"mreD"	0	0.39514	0.35454	0	0.23424
"PP_1776"	0	0.33521	0.34908	0	0.19051
"PP_1779"	0	0.31949	0.34933	0	0.16314
"PP_4939"	-0.082591	0.23987	0.40526	0.12528	0
"ttgR"	0	0.56458	0.17937	0	0
"PP_5429"	0	0.41018	0.26137	0.18983	0
"tolC"	0	0.41862	0.20538	0.16372	0
"PP_3350"	0	0.30968	0.23497	0.14525	-0.045395
"PP_1780"	0.081702	0.3401	0.31454	0	0
"PP_4938"	0	0.34132	0.30853	0	0
"PP_1778"	0	0.34152	0.28435	0	0
"rmd"	0.036279	0.29094	0.23237	0	0
"wbpL"	0	0.30591	0.22121	0	0
"rbsR"	0	0.28337	0.17586	0.052862	0
"rpoS"	0	0.27308	0.1745	0	-0.10142
"PP_3009"	0	0.34518	0.084472	0	0
"ettA"	0	0.26748	0	0.64812	0
"truB"	0	0.25745	0	0.48725	0
"rpmE"	-0.3019	0.31025	0	0.65377	0
"rlmD"	0	0.11184	0	0.43982	0.32071
"ygiF"	0	0.19169	0	0.37803	0.25798
"PP_4018"	0	0.20078	0	0.26073	0.29811
"fnrA"	0	0.26123	0	0.22535	0.24922
"PP_5476"	0	0.16509	0	0.27737	0.23492
"gcvT-II"	0	0.13999	0	0.3008	0.21503
"PP_0058"	0	0.10292	0	0.25349	0.2695
"PP_0275"	0	0.12949	0	0.23879	0.23705
"PP_1627"	0	0.10485	0	0.22839	0.21347
"ispB"	0	0	0	0.55619	0.2729
"cbpA"	0	0.0043697	0	0.41618	0.31701
"cysM"	-0.039481	0	-0.038695	0.37334	0.30628
"grpE"	0	-0.079238	-0.031842	0.46139	0.30243
"flgC"	0.10835	-0.044951	0.22067	0.49182	0
"PP_4944"	0	0.22461	0.13109	0.38454	0
"capB"	0	0.15041	0.19265	0.28608	0
"cspA-II"	0	0.16967	0	0.40542	-0.089359
"PP_mr35"	0	0.11225	0	0.34829	-0.12897
"PP_t44"	0	0	0	0.50577	0
"PP_t57"	0	0	0	0.43366	0
"glnE"	0	0	0	0.42134	0
"fliA"	0	-0.0088233	0	0.41062	0
"PP_3924"	0	-0.022432	0	0.37233	0
"cspA-I"	0	0	0	0.35314	0
"flhB"	0	-0.020635	0	0.33482	0
"glnD"	0	-0.019112	-0.072097	0.36649	0
